customer_id,segment_name,recency_days,frequency_180d,monetary_180d,sessions_30d,ticket_count_90d,return_rate_180d,category_diversity_180d,campaign_clicks_30d,churn_next_60d
CUST00001,Dormant Customers,107,1,362.73,1,0,0.0,1,0,1
CUST00002,Dormant Customers,40,1,581.0,8,1,0.0,1,0,0
CUST00003,Discount Sensitive,171,1,649.98,1,0,0.0,1,0,1
CUST00004,At Risk,131,1,1604.04,1,0,0.0,1,0,1
CUST00005,Champions,38,3,1781.9,18,0,0.0,2,1,0
CUST00006,High Value But Unhappy,51,4,2989.58,2,2,0.25,3,0,0
CUST00007,Dormant Customers,3,1,719.33,11,0,0.0,1,3,0
CUST00008,Loyal Customers,47,3,2449.11,2,0,0.0,3,0,0
CUST00009,Discount Sensitive,31,1,376.85,11,0,0.0,1,0,0
CUST00010,Discount Sensitive,9,1,636.8,13,0,0.0,1,0,0
CUST00011,Dormant Customers,1,1,508.08,10,0,0.0,1,0,0
CUST00012,Dormant Customers,50,1,978.88,3,0,0.0,1,0,1
CUST00013,Loyal Customers,61,3,1754.44,4,0,0.0,2,0,0
CUST00014,Loyal Customers,51,2,1382.39,11,0,0.0,1,0,0
CUST00015,Loyal Customers,35,2,1523.14,6,0,0.0,2,0,0
CUST00016,Dormant Customers,215,0,0.0,2,0,0.0,0,1,1
CUST00017,Dormant Customers,286,0,0.0,4,0,0.0,0,4,1
CUST00018,Discount Sensitive,111,1,329.21,3,0,0.0,1,2,1
CUST00019,Loyal Customers,9,2,1598.93,5,0,0.0,1,1,0
CUST00020,Dormant Customers,368,0,0.0,0,0,0.0,0,0,1
CUST00021,High Value But Unhappy,77,2,1059.3,3,1,0.0,2,0,1
CUST00022,Dormant Customers,29,1,454.06,10,0,0.0,1,1,0
CUST00023,Dormant Customers,21,1,400.98,3,0,0.0,1,1,0
CUST00024,Dormant Customers,4,1,481.35,13,0,0.0,1,0,0
CUST00025,Discount Sensitive,165,1,517.97,11,0,0.0,1,1,1
CUST00026,High Value But Unhappy,72,3,3561.39,14,1,0.333,2,0,0
CUST00027,Dormant Customers,70,1,2128.34,11,1,1.0,1,2,0
CUST00028,Dormant Customers,83,1,641.83,1,0,0.0,1,0,0
CUST00029,Loyal Customers,18,3,1382.04,1,0,0.0,2,0,0
CUST00030,Champions,5,5,2819.98,11,2,0.0,4,0,0
CUST00031,Dormant Customers,49,1,672.95,6,0,0.0,1,0,1
CUST00032,Dormant Customers,33,1,694.18,12,0,0.0,1,0,0
CUST00033,Champions,12,3,1877.69,7,1,0.333,3,0,0
CUST00034,High Value But Unhappy,50,2,1460.21,7,1,0.0,2,2,0
CUST00035,Dormant Customers,127,1,779.74,6,0,0.0,1,0,1
CUST00036,Loyal Customers,27,4,1737.33,0,1,0.25,4,0,1
CUST00037,Discount Sensitive,102,1,435.83,5,0,0.0,1,0,0
CUST00038,Loyal Customers,51,3,1955.61,5,1,0.0,3,0,0
CUST00039,Loyal Customers,15,2,1173.55,6,0,0.0,2,1,0
CUST00040,Discount Sensitive,154,1,634.73,1,0,0.0,1,0,1
CUST00041,Discount Sensitive,54,1,366.99,5,0,0.0,1,2,1
CUST00042,High Value But Unhappy,87,5,4306.0,3,2,0.0,4,2,0
CUST00043,Discount Sensitive,24,1,363.01,3,0,0.0,1,0,0
CUST00044,Dormant Customers,72,1,899.51,6,0,0.0,1,2,0
CUST00045,Dormant Customers,96,1,413.75,6,0,0.0,1,1,1
CUST00046,Dormant Customers,127,1,489.87,7,0,0.0,1,0,1
CUST00047,Dormant Customers,204,0,0.0,2,0,0.0,0,1,1
CUST00048,Loyal Customers,61,4,2450.45,12,0,0.25,3,0,0
CUST00049,Discount Sensitive,8,1,380.83,4,0,0.0,1,1,0
CUST00050,Loyal Customers,0,2,2026.54,3,0,0.5,2,1,0
CUST00051,Dormant Customers,210,0,0.0,6,0,0.0,0,2,1
CUST00052,Loyal Customers,55,2,1820.53,7,0,0.0,2,0,1
CUST00053,Champions,25,3,2063.87,9,1,0.0,2,1,0
CUST00054,Dormant Customers,6,1,489.85,3,0,0.0,1,0,0
CUST00055,Champions,3,3,1308.35,6,0,0.0,2,2,0
CUST00056,Loyal Customers,9,3,3150.69,3,1,0.0,2,0,0
CUST00057,At Risk,136,1,1713.34,7,0,0.0,1,1,1
CUST00058,Dormant Customers,42,1,644.61,2,0,0.0,1,4,0
CUST00059,Loyal Customers,2,2,1447.55,3,0,0.0,1,0,0
CUST00060,Discount Sensitive,145,1,293.22,5,0,0.0,1,0,1
CUST00061,High Value But Unhappy,14,3,1632.4,4,1,0.0,3,1,0
CUST00062,Champions,21,3,2295.98,9,0,0.0,3,1,0
CUST00063,Dormant Customers,216,0,0.0,0,0,0.0,0,0,1
CUST00064,Discount Sensitive,2,1,654.93,8,0,0.0,1,0,0
CUST00065,Dormant Customers,6,1,1911.67,3,0,0.0,1,2,0
CUST00066,Dormant Customers,320,0,0.0,11,0,0.0,0,1,1
CUST00067,Loyal Customers,63,2,1246.44,1,1,0.5,2,2,1
CUST00068,Dormant Customers,346,0,0.0,5,0,0.0,0,1,1
CUST00069,Loyal Customers,29,2,874.47,9,0,0.0,2,1,1
CUST00070,Dormant Customers,38,1,542.98,1,0,0.0,1,0,1
CUST00071,High Value But Unhappy,32,1,2062.5,1,1,0.0,1,2,1
CUST00072,Dormant Customers,90,2,1697.84,7,0,0.0,2,1,1
CUST00073,Loyal Customers,8,2,1150.72,7,0,0.0,2,1,0
CUST00074,Dormant Customers,7,1,824.34,14,1,1.0,1,1,0
CUST00075,Champions,3,3,1287.45,10,0,0.0,3,0,0
CUST00076,Loyal Customers,20,2,1385.27,17,0,0.0,1,0,0
CUST00077,Discount Sensitive,109,1,394.32,0,0,0.0,1,0,1
CUST00078,Discount Sensitive,139,1,894.45,5,0,1.0,1,0,1
CUST00079,Dormant Customers,191,0,0.0,2,0,0.0,0,0,1
CUST00080,Dormant Customers,50,1,1461.68,11,0,0.0,1,0,0
CUST00081,Champions,19,5,3417.32,12,0,0.0,4,0,0
CUST00082,Dormant Customers,254,0,0.0,7,0,0.0,0,3,1
CUST00083,Dormant Customers,89,2,806.87,9,1,0.5,1,0,1
CUST00084,At Risk,167,1,1273.18,11,0,0.0,1,1,1
